expo,table,project,sponsors,link,cortex,jid
1,1,Sing Me A Dress,"Intel Edison, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48930-sing-me-a-dress,Hardware,a11
1,2,Vectorwise,"Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48793-vectorwise,iOS,a12
1,3,MSnipe,,http://mhacksrefactor.devpost.com/submissions/48935-msnipe,Hardware,a13
1,4,SensorPush,"Disney, Twilio Hack, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48933-sensorpush,Hardware,a14
1,5,When Craigslist meets MHacks,"Intel Edison, Visa API, Domain.com Domain Name, Disney",http://mhacksrefactor.devpost.com/submissions/48931-when-craigslist-meets-mhacks,Hardware,a15
1,6,Push-Up Ninja,"Meridian Health, Domain.com Domain Name, Disney",http://mhacksrefactor.devpost.com/submissions/48866-push-up-ninja,Hardware,a16
1,7,Ruby,Disney,http://mhacksrefactor.devpost.com/submissions/48928-ruby,Hardware,a17
1,8,Motiv3,"Capital One API, Meridian Health, Disney, Firebase",http://mhacksrefactor.devpost.com/submissions/48923-motiv3,Hardware,a18
1,9,Weather Cloud,"Intel Edison, Disney",http://mhacksrefactor.devpost.com/submissions/48920-weather-cloud,Hardware,a19
1,10,Baylexa,"Meridian Health, Disney, Cloud Services by Linode, Twilio Hack",http://mhacksrefactor.devpost.com/submissions/48901-baylexa,Hardware,a110
1,11,Smart Teddy,"Intel Edison, Meridian, Firebase, Disney",http://mhacksrefactor.devpost.com/submissions/48891-smart-teddy,Hardware,a111
1,12,Shelter,,http://mhacksrefactor.devpost.com/submissions/48953-shelter,Game Design,a112
1,13,Edison Chess,,http://mhacksrefactor.devpost.com/submissions/48966-edison-chess,Hardware,a113
1,14,Ergomyonic,"Meridian Health, Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48837-ergomyonic,Hardware,a114
1,15,FlyMii,Intel Edison,http://mhacksrefactor.devpost.com/submissions/48682-flymii,Hardware,a115
1,16,Instant Bling,Disney,http://mhacksrefactor.devpost.com/submissions/48675-instant-bling,Hardware,a116
1,17,apt-get-reverse,GitHub and MLH,http://mhacksrefactor.devpost.com/submissions/48669-apt-get-reverse,Hardware,a117
1,18,AutismAssist,"Meridian Health, Disney, Cloud Services by Linode, Firebase",http://mhacksrefactor.devpost.com/submissions/48660-autismassist,Hardware,a118
1,19,Bluetooth Rave Shades,Disney,http://mhacksrefactor.devpost.com/submissions/48615-bluetooth-rave-shades,Hardware,a119
1,20,Piezoelectric Mario,Disney,http://mhacksrefactor.devpost.com/submissions/48581-piezoelectric-mario,Hardware,a120
1,21,Step,"Concur, Meridian Health, Disney",http://mhacksrefactor.devpost.com/submissions/48418-step,Hardware,a121
1,22,Just Dance for Me,"Domain.com Domain Name, Cloud Services by Linode, Firebase, Disney",http://mhacksrefactor.devpost.com/submissions/48964-just-dance-for-me,Game Design,a122
1,23,Internet of Coffee,"Intel Edison, Domain.com Domain Name, Firebase",http://mhacksrefactor.devpost.com/submissions/48876-internet-of-coffee,Hardware,a123
1,24,SMS Text Based Adventure Game,,http://mhacksrefactor.devpost.com/submissions/48908-sms-text-based-adventure-game,Game Design,a124
1,25,Spong,,http://mhacksrefactor.devpost.com/submissions/48746-spong,Game Design,a125
1,26,Escape from Noro-th Quad,,http://mhacksrefactor.devpost.com/submissions/48678-escape-from-noro-th-quad,Game Design,a126
1,27,Mucha,,http://mhacksrefactor.devpost.com/submissions/48494-mucha,Game Design,a127
1,28,BeLeaguer,,http://mhacksrefactor.devpost.com/submissions/49013-beleaguer,Game Design,a128
1,29,Neurable 3D Mind Motion,"Meridian Health, Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48528-neurable-3d-mind-motion,Virtual/Augmented Reality,a129
1,30,Riplr,"Insights by Qualtrics, Disney, GitHub and MLH",http://mhacksrefactor.devpost.com/submissions/48812-riplr,Virtual/Augmented Reality,a130
